Território;Nome do território;Sexo;Ano;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.);População
430005;Água Santa;Mulheres;2017;17;868.68;749.22;1957
430005;Água Santa;Mulheres;2018;7;356.42;305.11;1964
430005;Água Santa;Mulheres;2019;9;454.32;359.34;1981
430005;Água Santa;Mulheres;2020;7;351.05;288.42;1994
430005;Água Santa;Mulheres;2021;11;549.45;412.08;2002
430005;Água Santa;Mulheres;2022;14;696.17;570.37;2011
430005;Água Santa;Mulheres;2023;17;846.61;596.54;2008
430005;Água Santa;Mulheres;2024;8;395.84;290.5;2021
430005;Água Santa;Mulheres;2025;10;493.83;335.46;2025
430010;Agudo;Ambos;2000;114;648.35;762.22;17583
430010;Agudo;Ambos;2001;112;636.22;736.72;17604
430010;Agudo;Ambos;2002;137;778.54;892.67;17597
430010;Agudo;Ambos;2003;113;643.32;727.3;17565
430010;Agudo;Ambos;2004;143;816.26;914.7;17519
430010;Agudo;Ambos;2005;144;824.65;897.61;17462
430010;Agudo;Ambos;2006;146;839.18;904.17;17398
430010;Agudo;Ambos;2007;154;889.86;921.01;17306
430010;Agudo;Ambos;2008;141;819.39;841.59;17208
430010;Agudo;Ambos;2009;139;812.06;808.8;17117
430010;Agudo;Ambos;2010;148;869.11;853.26;17029
430010;Agudo;Ambos;2011;131;772.18;727.44;16965
430010;Agudo;Ambos;2012;142;839;768.52;16925
430010;Agudo;Ambos;2013;141;834.47;744.02;16897
430010;Agudo;Ambos;2014;127;753.08;662.79;16864
430010;Agudo;Ambos;2015;146;867.65;744.98;16827
430010;Agudo;Ambos;2016;157;935.19;780.74;16788
430010;Agudo;Ambos;2017;126;752.37;611.79;16747
430010;Agudo;Ambos;2018;126;754.4;599.78;16702
430010;Agudo;Ambos;2019;148;888.36;689.4;16660
430010;Agudo;Ambos;2020;160;962.81;736.33;16618
430010;Agudo;Ambos;2021;186;1122.65;834.43;16568
430010;Agudo;Ambos;2022;213;1292.63;948.85;16478
430010;Agudo;Ambos;2023;181;1103.73;786.32;16399
430010;Agudo;Ambos;2024;179;1095.07;755.43;16346
430010;Agudo;Ambos;2025;154;942.41;636.4;16341
430010;Agudo;Homens;2000;64;724.39;955.71;8835
430010;Agudo;Homens;2001;67;757.92;958.35;8840
430010;Agudo;Homens;2002;80;905.08;1153.04;8839
430010;Agudo;Homens;2003;57;646.41;811.65;8818
430010;Agudo;Homens;2004;75;852.95;1069.42;8793
430010;Agudo;Homens;2005;81;924.45;1119.83;8762
430010;Agudo;Homens;2006;74;848.14;1059.19;8725
430010;Agudo;Homens;2007;88;1015.46;1163.84;8666
430010;Agudo;Homens;2008;81;941.09;1087.85;8607
430010;Agudo;Homens;2009;68;795.88;871.34;8544
430010;Agudo;Homens;2010;74;871.2;972.54;8494
430010;Agudo;Homens;2011;80;946.63;1003.11;8451
430010;Agudo;Homens;2012;82;972.95;1003.73;8428
430010;Agudo;Homens;2013;69;820.45;842.23;8410
430010;Agudo;Homens;2014;73;869.77;878.95;8393
430010;Agudo;Homens;2015;84;1003.46;968.22;8371
430010;Agudo;Homens;2016;85;1018.33;951.88;8347
430010;Agudo;Homens;2017;68;817.9;743.75;8314
430010;Agudo;Homens;2018;62;748.43;661.87;8284
430010;Agudo;Homens;2019;83;1006.06;861.03;8250
