Território;Nome do território;Sexo;Ano;Tipo de causa externa;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.)
RS;Rio Grande do Sul;Mulheres;2008;Lesão autoprovocada;228;4.39;4.49
RS;Rio Grande do Sul;Mulheres;2008;Demais causas externas;167;3.01;2.96
RS;Rio Grande do Sul;Mulheres;2009;Lesão de trânsito;428;7.69;7.64
RS;Rio Grande do Sul;Mulheres;2009;Agressão;225;4.04;3.99
RS;Rio Grande do Sul;Mulheres;2009;Causas acidentais;398;7.15;6.88
RS;Rio Grande do Sul;Mulheres;2009;Lesão autoprovocada;187;3.58;3.65
RS;Rio Grande do Sul;Mulheres;2009;Demais causas externas;188;3.38;3.27
RS;Rio Grande do Sul;Mulheres;2010;Lesão de trânsito;474;8.49;8.45
RS;Rio Grande do Sul;Mulheres;2010;Agressão;227;4.06;4.03
RS;Rio Grande do Sul;Mulheres;2010;Causas acidentais;368;6.59;6.18
RS;Rio Grande do Sul;Mulheres;2010;Lesão autoprovocada;205;3.9;3.93
RS;Rio Grande do Sul;Mulheres;2010;Demais causas externas;165;2.95;2.78
RS;Rio Grande do Sul;Mulheres;2011;Lesão de trânsito;431;7.69;7.61
RS;Rio Grande do Sul;Mulheres;2011;Agressão;202;3.61;3.55
RS;Rio Grande do Sul;Mulheres;2011;Causas acidentais;453;8.09;7.39
RS;Rio Grande do Sul;Mulheres;2011;Lesão autoprovocada;211;4;4.02
RS;Rio Grande do Sul;Mulheres;2011;Demais causas externas;131;2.34;2.22
RS;Rio Grande do Sul;Mulheres;2012;Lesão de trânsito;470;8.36;8.18
RS;Rio Grande do Sul;Mulheres;2012;Agressão;247;4.39;4.4
RS;Rio Grande do Sul;Mulheres;2012;Causas acidentais;395;7.03;6.31
RS;Rio Grande do Sul;Mulheres;2012;Lesão autoprovocada;241;4.55;4.52
RS;Rio Grande do Sul;Mulheres;2012;Demais causas externas;151;2.69;2.41
RS;Rio Grande do Sul;Mulheres;2013;Lesão de trânsito;455;8.06;7.82
RS;Rio Grande do Sul;Mulheres;2013;Agressão;210;3.72;3.69
RS;Rio Grande do Sul;Mulheres;2013;Causas acidentais;636;11.27;9.98
RS;Rio Grande do Sul;Mulheres;2013;Lesão autoprovocada;246;4.63;4.51
RS;Rio Grande do Sul;Mulheres;2013;Demais causas externas;136;2.41;2.16
RS;Rio Grande do Sul;Mulheres;2014;Lesão de trânsito;439;7.75;7.58
RS;Rio Grande do Sul;Mulheres;2014;Agressão;250;4.41;4.4
RS;Rio Grande do Sul;Mulheres;2014;Causas acidentais;575;10.15;8.65
RS;Rio Grande do Sul;Mulheres;2014;Lesão autoprovocada;236;4.43;4.34
RS;Rio Grande do Sul;Mulheres;2014;Demais causas externas;103;1.82;1.63
RS;Rio Grande do Sul;Mulheres;2015;Lesão de trânsito;386;6.79;6.53
